"sponsor","cosponsors","V1"
7,11,2
7,13,5
7,66,13
7,116,13
7,120,2
7,136,11
7,137,1
7,146,4
7,153,3
7,168,3
7,172,16
7,174,5
7,179,16
7,188,3
7,212,2
7,213,13
7,246,8
7,250,10
7,267,6
7,293,2
7,302,22
7,308,13
7,326,53
7,348,3
7,452,1
7,457,7
7,466,2
7,501,5
7,578,1
7,583,3
7,593,6
7,604,18
7,655,1
7,707,3
7,754,3
7,791,12
7,802,17
7,859,4
7,949,11
7,952,17
7,968,5
7,1010,10
7,1015,3
7,1017,18
7,1036,24
7,1082,4
7,1085,11
7,1135,2
7,1149,4
7,1163,4
7,1247,11
7,1280,1
7,1284,7
7,1285,21
7,1286,2
7,1298,2
7,1299,2
7,1307,5
7,1319,3
7,1331,11
7,1332,17
7,1336,1
7,1342,4
7,1351,3
7,1361,1
7,1369,68
7,1377,21
7,1379,18
7,1380,10
7,1381,36
7,1383,23
7,1384,33
7,1385,30
7,1409,28
7,1424,17
7,1437,9
7,1440,19
7,1447,1
7,1452,10
7,1454,3
7,1531,13
7,1532,4
7,1534,2
7,1540,2
7,1541,24
7,1542,2
7,1545,4
7,1546,13
7,1548,2
7,1549,7
7,1570,10
7,1571,6
7,1572,2
7,1573,3
7,1575,16
7,1605,2
7,1608,5
7,1612,4
7,1624,1
7,1627,5
7,1629,12
7,1630,12
7,1631,23
7,1680,1
7,1692,1
7,1694,11
7,1695,1
7,1697,12
7,1698,3
7,1701,13
7,1762,12
7,1763,13
7,1769,3
7,1820,6
7,1822,6
7,1823,2
7,1826,1
7,1828,3
7,1829,3
11,7,7
11,13,5
11,66,4
11,116,6
11,136,3
11,137,13
11,146,8
11,153,2
11,168,7
11,172,2
11,174,1
11,179,1
11,188,9
11,212,2
11,213,11
11,246,8
11,250,10
11,267,2
11,293,3
11,302,2
11,308,3
11,326,9
11,348,5
11,452,2
11,453,1
11,457,2
11,466,4
11,501,7
11,578,2
11,583,13
11,593,3
11,604,8
11,655,5
11,707,9
11,754,5
11,791,3
11,802,4
11,859,2
11,949,8
11,952,4
11,968,7
11,1010,2
11,1015,7
11,1017,4
11,1036,3
11,1049,9
11,1082,3
11,1085,7
11,1135,5
11,1149,2
11,1163,1
11,1226,2
11,1247,5
11,1280,6
11,1284,2
11,1285,4
11,1286,1
11,1298,8
11,1307,2
11,1319,7
11,1331,11
11,1332,8
11,1336,3
11,1342,1
11,1351,11
11,1368,11
11,1369,7
11,1377,6
11,1379,2
11,1380,5
11,1381,3
11,1383,2
11,1384,9
11,1385,5
11,1387,1
11,1395,6
11,1408,2
11,1409,4
11,1424,1
11,1437,1
11,1440,8
11,1448,1
11,1452,4
11,1454,3
11,1531,6
11,1532,1
11,1534,3
11,1540,3
11,1541,6
11,1542,14
11,1545,13
11,1546,9
11,1548,12
11,1549,5
11,1570,1
11,1571,4
11,1572,3
11,1573,1
11,1575,4
11,1605,2
11,1608,7
11,1609,5
11,1612,1
11,1624,5
11,1627,6
11,1629,4
11,1630,4
11,1631,8
11,1692,3
11,1694,4
11,1695,3
11,1697,10
11,1698,7
11,1701,4
11,1762,45
11,1763,3
11,1769,4
11,1823,2
11,1825,1
11,1826,1
11,1828,3
11,1829,2
11,1881,4
13,7,3
13,11,6
13,66,2
13,116,6
13,120,1
13,137,4
13,146,3
13,153,2
13,168,4
13,172,1
13,179,1
13,188,7
13,212,4
13,213,5
13,246,9
13,250,4
13,267,2
13,293,6
13,302,2
13,308,2
13,326,6
13,348,8
13,452,4
13,453,1
13,457,4
13,466,6
13,578,5
13,583,7
13,604,3
13,655,1
13,707,6
13,754,6
13,791,1
13,802,2
13,859,3
13,968,2
13,1015,8
13,1017,1
13,1036,2
13,1082,2
13,1085,3
13,1135,6
13,1149,1
13,1247,3
13,1284,1
13,1285,3
13,1286,4
13,1298,11
13,1299,1
13,1319,3
13,1331,2
13,1332,4
13,1336,1
13,1351,1
13,1359,2
13,1361,2
13,1368,8
13,1369,5
13,1377,3
13,1379,4
13,1381,2
13,1383,3
13,1385,4
13,1387,1
13,1408,2
13,1409,1
13,1412,2
13,1424,1
13,1437,2
13,1440,11
13,1452,43
13,1531,2
13,1532,5
13,1534,3
13,1540,2
13,1541,7
13,1542,5
13,1545,1
13,1546,3
13,1548,5
13,1549,7
13,1570,2
13,1571,3
13,1572,3
13,1573,2
13,1575,4
13,1605,3
13,1608,4
13,1609,4
13,1612,1
13,1624,9
13,1627,2
13,1631,5
13,1692,2
13,1694,4
13,1695,1
13,1697,1
13,1698,5
13,1701,3
13,1769,4
66,7,2
66,11,9
66,13,4
66,116,5
66,120,4
66,136,9
66,137,7
