"sponsor","cosponsors","V1"
"00007","00007",222
"00007","00011",2
"00007","00013",5
"00007","00066",13
"00007","00116",13
"00007","00120",2
"00007","00136",11
"00007","00137",1
"00007","00146",4
"00007","00153",3
"00007","00168",3
"00007","00172",16
"00007","00174",5
"00007","00179",16
"00007","00188",3
"00007","00212",2
"00007","00213",13
"00007","00246",8
"00007","00250",10
"00007","00267",6
"00007","00293",2
"00007","00302",22
"00007","00308",13
"00007","00326",53
"00007","00348",3
"00007","00452",1
"00007","00457",7
"00007","00466",2
"00007","00501",5
"00007","00578",1
"00007","00583",3
"00007","00593",6
"00007","00604",18
"00007","00655",1
"00007","00707",3
"00007","00754",3
"00007","00791",12
"00007","00802",17
"00007","00859",4
"00007","00949",11
"00007","00952",17
"00007","00968",5
"00007","01010",10
"00007","01015",3
"00007","01017",18
"00007","01036",24
"00007","01082",4
"00007","01085",11
"00007","01135",2
"00007","01149",4
"00007","01163",4
"00007","01247",11
"00007","01280",1
"00007","01284",7
"00007","01285",21
"00007","01286",2
"00007","01298",2
"00007","01299",2
"00007","01307",5
"00007","01319",3
"00007","01331",11
"00007","01332",17
"00007","01336",1
"00007","01342",4
"00007","01351",3
"00007","01361",1
"00007","01369",68
"00007","01377",21
"00007","01379",18
"00007","01380",10
"00007","01381",36
"00007","01383",23
"00007","01384",33
"00007","01385",30
"00007","01409",28
"00007","01424",17
"00007","01437",9
"00007","01440",19
"00007","01447",1
"00007","01452",10
"00007","01454",3
"00007","01531",13
"00007","01532",4
"00007","01534",2
"00007","01540",2
"00007","01541",24
"00007","01542",2
"00007","01545",4
"00007","01546",13
"00007","01548",2
"00007","01549",7
"00007","01570",10
"00007","01571",6
"00007","01572",2
"00007","01573",3
"00007","01575",16
"00007","01605",2
"00007","01608",5
"00007","01612",4
"00007","01624",1
"00007","01627",5
"00007","01629",12
"00007","01630",12
"00007","01631",23
"00007","01680",1
"00007","01692",1
"00007","01694",11
"00007","01695",1
"00007","01697",12
"00007","01698",3
"00007","01701",13
"00007","01762",12
"00007","01763",13
"00007","01769",3
"00007","01820",6
"00007","01822",6
"00007","01823",2
"00007","01826",1
"00007","01828",3
"00007","01829",3
"00011","00007",7
"00011","00011",143
"00011","00013",5
"00011","00066",4
"00011","00116",6
"00011","00136",3
"00011","00137",13
"00011","00146",8
