"sponsor","cosponsors"
"01017","01017"
"01017","00007"
"01017","00013"
"01017","01285"
"01017","00172"
"01017","01631"
"01017","01630"
"01017","00267"
"01017","01629"
"01017","00308"
"01017","00326"
"01017","00604"
"01017","01377"
"01017","01546"
"01017","01384"
"01017","01385"
"01017","00802"
"01017","01409"
"01017","01627"
"01017","00949"
"01017","01452"
"00466","00466"
"00466","00267"
"00466","01377"
"00466","01085"
"01695","01695"
"01695","00013"
"01695","01284"
"01695","01697"
"01695","01630"
"01695","01331"
"01695","01545"
"01695","01384"
"01695","01387"
"01695","01017"
"01695","01532"
"00137","00137"
"00137","00968"
"00137","00137"
"00137","01381"
"00137","00968"
"00137","01036"
"01694","01694"
"01694","00116"
"01694","00172"
"01694","01631"
"01694","01541"
"01694","01698"
"01694","01332"
"01694","01368"
"01694","01546"
"01694","01570"
"01694","00802"
"01694","01409"
"01694","01085"
"01694","01531"
"01694","01452"
"00802","00802"
"00802","01377"
"00457","00457"
"00168","00168"
"00168","01284"
"00168","00188"
"00168","01630"
"00168","00302"
"00168","01331"
"00168","01381"
"00168","00707"
"00168","01015"
"00168","01036"
"00168","01549"
"00168","01532"
"01385","01385"
"01385","01284"
"01385","01285"
"01385","01630"
"01385","01319"
"01385","00326"
"01385","01332"
"01385","00501"
"01385","00583"
"01385","01377"
"01385","01380"
"01385","01384"
"01385","00952"
"01385","01424"
"01385","01036"
"01385","01085"
"01385","01452"
"01385","01247"
"01385","01385"
"01385","01570"
"01385","01247"
"01369","01369"
"01369","00501"
"01369","01452"
"00250","00250"
"00250","00013"
"00250","00246"
"00250","01452"
"00168","00168"
"00168","00013"
"00168","01572"
"00168","00137"
"00168","00188"
"00168","01631"
"00168","01697"
"00168","01630"
"00168","00302"
"00168","00308"
"00168","00326"
"00168","01331"
"00168","01332"
"00168","01571"
"00168","00604"
"00168","01379"
"00168","01381"
"00168","01385"
"00168","00802"
"00168","01409"
"00168","01549"
"00168","01247"
"01387","01387"
"01387","01284"
"01387","01331"
"01387","01380"
"01631","01631"
"01631","00172"
"01631","01545"
"01549","01549"
"01549","01631"
"01549","00302"
"01549","01698"
"01549","00326"
"01549","01570"
"01549","01409"
"01549","00952"
"01549","01548"
"01698","01698"
"01698","00501"
"01336","01336"
"01336","00267"
"01336","00302"
"01336","00707"
"01336","01336"
"01336","00267"
"00137","00137"
"00137","00968"
"00137","01015"
"00137","01437"
"00011","00011"
"00168","00168"
"00168","00120"
"00168","00146"
"00168","01631"
"00168","00213"
"00168","01630"
"00168","00250"
"00168","01629"
"00168","00293"
"00168","00302"
"00168","01319"
"00168","00326"
"00168","01573"
"00168","01332"
"00168","01571"
"00168","01342"
"00168","01351"
"00168","01368"
"00168","00604"
"00168","01377"
"00168","01379"
"00168","01546"
"00168","01381"
"00168","01385"
"00168","00802"
"00168","01694"
"00168","01409"
"00168","01412"
"00168","00952"
"00168","01548"
"00168","01549"
"00168","01531"
"00168","01247"
"01015","01015"
"01015","01437"
"01336","01336"
"01285","01285"
"01285","01319"
"01285","00326"
"01085","01085"
"01085","00007"
"01085","01284"
"01085","00116"
"01085","01612"
"01085","01541"
"01085","01630"
"01085","00302"
"01085","01571"
"01085","01361"
"01085","00593"
"01085","01377"
"01085","01385"
"01085","00754"
"01085","00949"
"01085","01247"
"01631","01631"
"01631","01630"
"01631","01381"
"01631","01036"
"00137","00137"
"00137","01695"
"00137","00066"
"00137","01285"
"00137","00116"
"00137","01631"
"00137","01541"
"00137","01630"
"00137","00293"
"00137","00302"
"00137","01698"
"00137","00326"
"00137","01573"
"00137","01331"
"00137","01332"
"00137","01571"
"00137","01342"
"00137","00501"
"00137","00593"
"00137","01377"
"00137","01379"
"00137","01380"
"00137","01546"
