"sponsor","cosponsors","V1"
"00002","00002",15
"00002","00021",1
"00002","00062",1
"00002","00099",1
"00002","00132",3
"00002","00136",1
"00002","00229",2
"00002","00238",1
"00002","00256",3
"00002","00279",3
"00002","00281",1
"00002","00282",1
"00002","00316",1
"00002","00322",1
"00002","00335",1
"00002","00355",2
"00002","00361",3
"00002","00367",2
"00002","00368",2
"00002","00371",2
"00002","00381",3
"00002","00396",1
"00002","00407",3
"00002","00438",1
"00002","00446",1
"00002","00448",1
"00002","00462",2
"00002","00478",2
"00002","00511",1
"00002","00524",2
"00002","00541",2
"00002","00550",1
"00002","00566",2
"00002","00575",1
"00002","00584",3
"00002","00588",2
"00002","00599",1
"00002","00612",2
"00002","00615",1
"00002","00616",3
"00002","00631",1
"00002","00635",1
"00002","00659",1
"00002","00672",1
"00002","00688",4
"00002","00701",3
"00002","00729",1
"00002","00735",2
"00002","00766",2
"00002","00780",2
"00002","00785",2
"00002","00788",2
"00002","00791",1
"00002","00808",3
"00002","00832",1
"00002","00844",1
"00002","00850",2
"00002","00854",1
"00002","00876",2
"00002","00880",1
"00002","00883",1
"00002","00885",1
"00002","00887",1
"00002","00893",1
"00002","00900",3
"00002","00902",1
"00002","00910",1
"00002","00940",2
"00002","00944",1
"00002","00998",1
"00002","01003",1
"00002","01007",1
"00002","01010",3
"00002","01042",3
"00002","01043",1
"00002","01064",1
"00002","01069",1
"00002","01089",1
"00002","01092",1
"00002","01101",1
"00002","01118",1
"00002","01123",1
"00002","01137",1
"00002","01148",1
"00002","01184",1
"00002","01188",2
"00002","01205",1
"00002","01209",1
"00002","01215",1
"00002","01242",2
"00002","01251",1
"00002","01256",1
"00002","01461",2
"00002","01462",1
"00002","01464",1
"00002","01467",1
"00002","01469",1
"00002","01471",1
"00002","01473",1
"00002","01474",2
"00002","01477",1
"00002","01480",2
"00002","01482",1
"00002","01491",2
"00002","01497",1
"00002","01499",2
"00002","01501",1
"00002","01503",1
"00002","01504",1
"00002","01506",1
