"sponsor.thomasid","sponsor.name","sponsor.party","cosponsor.thomasid","cosponsor.name","cosponsor.party","edge.weight"
2,"Abercrombie","Democrat",1693,"Case","Democrat",9
4,"Ackerman","Democrat",1604,"Crowley","Democrat",6
4,"Ackerman","Democrat",344,"Engel","Democrat",7
21,"Andrews","Democrat",1732,"McCotter","Republican",6
21,"Andrews","Democrat",381,"Filner","Democrat",8
38,"Bachus","Republican",407,"Frank","Democrat",6
38,"Bachus","Republican",729,"Maloney","Democrat",6
38,"Bachus","Republican",1503,"McCarthy","Democrat",6
38,"Bachus","Republican",1491,"Hooley","Democrat",6
38,"Bachus","Republican",1561,"Moore","Democrat",6
38,"Bachus","Republican",1705,"Davis","Democrat",6
47,"Baker","Republican",1785,"Jindal","Republican",10
47,"Baker","Republican",763,"McCrery","Republican",11
47,"Baker","Republican",1786,"Melancon","Democrat",10
47,"Baker","Republican",1787,"Boustany","Republican",13
47,"Baker","Republican",592,"Jefferson","Democrat",11
47,"Baker","Republican",1727,"Alexander","Republican",12
60,"Bartlett","Republican",1720,"Gingrey","Republican",8
60,"Bartlett","Republican",612,"Jones","Republican",6
60,"Bartlett","Republican",869,"Norwood","Republican",6
62,"Barton","Republican",1527,"Shimkus","Republican",6
62,"Barton","Republican",1177,"Upton","Republican",6
62,"Barton","Republican",160,"Buyer","Republican",6
62,"Barton","Republican",1751,"Burgess","Republican",7
63,"Bass","Republican",1736,"Bradley","Republican",8
89,"Bilirakis","Republican",541,"Hinchey","Democrat",7
89,"Bilirakis","Republican",1713,"Brown-Waite","Republican",8
89,"Bilirakis","Republican",1580,"Holt","Democrat",6
89,"Bilirakis","Republican",1729,"Van Hollen","Democrat",6
89,"Bilirakis","Republican",1718,"Marshall","Democrat",6
89,"Bilirakis","Republican",347,"English","Republican",7
89,"Bilirakis","Republican",1642,"Simmons","Republican",6
89,"Bilirakis","Republican",785,"McNulty","Democrat",6
89,"Bilirakis","Republican",448,"Gordon","Democrat",9
89,"Bilirakis","Republican",1730,"Michaud","Democrat",6
89,"Bilirakis","Republican",663,"Lantos","Democrat",6
89,"Bilirakis","Republican",729,"Maloney","Democrat",6
89,"Bilirakis","Republican",1566,"Terry","Republican",7
89,"Bilirakis","Republican",381,"Filner","Democrat",9
89,"Bilirakis","Republican",396,"Foley","Republican",7
89,"Bilirakis","Republican",1693,"Case","Democrat",6
89,"Bilirakis","Republican",91,"Bishop","Democrat",6
89,"Bilirakis","Republican",869,"Norwood","Republican",6
89,"Bilirakis","Republican",1465,"Bono Mack","Republican",6
89,"Bilirakis","Republican",1504,"McGovern","Democrat",6
89,"Bilirakis","Republican",930,"Price","Democrat",6
89,"Bilirakis","Republican",355,"Eshoo","Democrat",6
89,"Bilirakis","Republican",136,"Brown","Democrat",9
89,"Bilirakis","Republican",462,"Green","Democrat",8
99,"Blumenauer","Democrat",1501,"Lee","Democrat",6
99,"Blumenauer","Democrat",279,"DeFazio","Democrat",6
99,"Blumenauer","Democrat",1491,"Hooley","Democrat",6
99,"Blumenauer","Democrat",766,"McDermott","Democrat",9
99,"Blumenauer","Democrat",1530,"Snyder","Democrat",6
101,"Boehlert","Republican",635,"King","Republican",7
102,"Boehner","Republican",778,"McKeon","Republican",6
102,"Boehner","Republican",1733,"Kline","Republican",6
136,"Brown","Democrat",1708,"Grijalva","Democrat",8
136,"Brown","Democrat",238,"Costello","Democrat",6
136,"Brown","Democrat",1588,"Schakowsky","Democrat",7
136,"Brown","Democrat",1209,"Waxman","Democrat",7
154,"Burton","Republican",663,"Lantos","Democrat",6
154,"Burton","Republican",1800,"FortuÃ±o","Republican",6
154,"Burton","Republican",1089,"Souder","Republican",6
160,"Buyer","Republican",132,"Brown","Democrat",6
160,"Buyer","Republican",89,"Bilirakis","Republican",6
160,"Buyer","Republican",1687,"Boozman","Republican",6
160,"Buyer","Republican",361,"Evans","Democrat",10
160,"Buyer","Republican",1760,"Herseth Sandlin","Democrat",6
166,"Camp","Republican",1732,"McCotter","Republican",9
166,"Camp","Republican",547,"Hoekstra","Republican",6
166,"Camp","Republican",396,"Foley","Republican",8
166,"Camp","Republican",773,"McHugh","Republican",7
166,"Camp","Republican",631,"Kildee","Democrat",6
166,"Camp","Republican",339,"Ehlers","Republican",8
166,"Camp","Republican",1651,"Rogers","Republican",7
166,"Camp","Republican",347,"English","Republican",11
166,"Camp","Republican",1788,"Schwarz","Republican",7
166,"Camp","Republican",448,"Gordon","Democrat",6
174,"Cardin","Democrat",1101,"Stark","Democrat",6
183,"Castle","Republican",1503,"McCarthy","Democrat",6
229,"Conyers","Democrat",1564,"Capuano","Democrat",7
229,"Conyers","Democrat",868,"Norton","Democrat",10
229,"Conyers","Democrat",136,"Brown","Democrat",10
229,"Conyers","Democrat",766,"McDermott","Democrat",22
229,"Conyers","Democrat",541,"Hinchey","Democrat",14
229,"Conyers","Democrat",1581,"Jones","Democrat",6
229,"Conyers","Democrat",1474,"Christensen","Democrat",8
229,"Conyers","Democrat",688,"Lewis","Democrat",9
229,"Conyers","Democrat",944,"Rangel","Democrat",13
229,"Conyers","Democrat",1010,"Sanders","Independent",15
229,"Conyers","Democrat",1205,"Waters","Democrat",14
229,"Conyers","Democrat",788,"Meehan","Democrat",15
229,"Conyers","Democrat",1477,"Davis","Democrat",16
229,"Conyers","Democrat",729,"Maloney","Democrat",17
229,"Conyers","Democrat",1242,"Woolsey","Democrat",14
229,"Conyers","Democrat",1165,"Towns","Democrat",6
229,"Conyers","Democrat",587,"Jackson","Democrat",12
229,"Conyers","Democrat",1634,"Honda","Democrat",13
229,"Conyers","Democrat",1480,"Delahunt","Democrat",7
229,"Conyers","Democrat",1811,"Moore","Democrat",9
229,"Conyers","Democrat",1528,"Smith","Democrat",6
229,"Conyers","Democrat",780,"McKinney","Democrat",9
229,"Conyers","Democrat",850,"Nadler","Democrat",18
229,"Conyers","Democrat",616,"Kaptur","Democrat",7
229,"Conyers","Democrat",1682,"Watson","Democrat",13
229,"Conyers","Democrat",1604,"Crowley","Democrat",6
229,"Conyers","Democrat",1654,"Clay","Democrat",8
229,"Conyers","Democrat",1037,"Scott","Democrat",12
229,"Conyers","Democrat",808,"Miller","Democrat",8
229,"Conyers","Democrat",1580,"Holt","Democrat",6
229,"Conyers","Democrat",599,"Johnson","Democrat",9
229,"Conyers","Democrat",1757,"SÃ¡nchez","Democrat",10
229,"Conyers","Democrat",887,"Pallone","Democrat",9
229,"Conyers","Democrat",1588,"Schakowsky","Democrat",21
229,"Conyers","Democrat",407,"Frank","Democrat",8
229,"Conyers","Democrat",1597,"Weiner","Democrat",10
229,"Conyers","Democrat",832,"Moran","Democrat",10
229,"Conyers","Democrat",82,"Berman","Democrat",12
229,"Conyers","Democrat",1790,"Cleaver","Democrat",7
229,"Conyers","Democrat",381,"Filner","Democrat",10
229,"Conyers","Democrat",303,"Doggett","Democrat",7
229,"Conyers","Democrat",511,"Hastings","Democrat",8
229,"Conyers","Democrat",1535,"Tierney","Democrat",6
229,"Conyers","Democrat",2,"Abercrombie","Democrat",7
229,"Conyers","Democrat",1653,"McCollum","Democrat",11
229,"Conyers","Democrat",1473,"Carson","Democrat",11
229,"Conyers","Democrat",299,"Dingell","Democrat",6
229,"Conyers","Democrat",1501,"Lee","Democrat",25
229,"Conyers","Democrat",1558,"Baldwin","Democrat",8
229,"Conyers","Democrat",1567,"Udall","Democrat",6
229,"Conyers","Democrat",879,"Olver","Democrat",9
229,"Conyers","Democrat",1520,"Rothman","Democrat",9
229,"Conyers","Democrat",1504,"McGovern","Democrat",9
229,"Conyers","Democrat",132,"Brown","Democrat",9
229,"Conyers","Democrat",1636,"Solis","Democrat",10
229,"Conyers","Democrat",279,"DeFazio","Democrat",6
229,"Conyers","Democrat",1803,"Green","Democrat",8
229,"Conyers","Democrat",1151,"Thompson","Democrat",11
229,"Conyers","Democrat",1497,"Kilpatrick","Democrat",14
229,"Conyers","Democrat",368,"Farr","Democrat",11
229,"Conyers","Democrat",1251,"Wynn","Democrat",6
229,"Conyers","Democrat",1635,"Schiff","Democrat",14
229,"Conyers","Democrat",1207,"Watt","Democrat",7
229,"Conyers","Democrat",883,"Owens","Democrat",15
229,"Conyers","Democrat",902,"Payne","Democrat",12
229,"Conyers","Democrat",1209,"Waxman","Democrat",8
229,"Conyers","Democrat",1729,"Van Hollen","Democrat",13
229,"Conyers","Democrat",256,"Cummings","Democrat",14
229,"Conyers","Democrat",627,"Kennedy","Democrat",6
229,"Conyers","Democrat",1042,"Serrano","Democrat",16
229,"Conyers","Democrat",1708,"Grijalva","Democrat",15
229,"Conyers","Democrat",1499,"Kucinich","Democrat",12
229,"Conyers","Democrat",701,"Lofgren","Democrat",16
229,"Conyers","Democrat",1777,"Wasserman Schultz","Democrat",6
229,"Conyers","Democrat",371,"Fattah","Democrat",6
229,"Conyers","Democrat",1506,"Meeks","Democrat",8
229,"Conyers","Democrat",1537,"Wexler","Democrat",11
229,"Conyers","Democrat",588,"Jackson Lee","Democrat",17
229,"Conyers","Democrat",1101,"Stark","Democrat",13
231,"Cooper","Democrat",910,"Peterson","Democrat",6
231,"Cooper","Democrat",1693,"Case","Democrat",6
231,"Cooper","Democrat",1774,"Costa","Democrat",6
231,"Cooper","Democrat",1671,"Matheson","Democrat",6
231,"Cooper","Democrat",1747,"Davis","Democrat",8
231,"Cooper","Democrat",1759,"Chandler","Democrat",6
231,"Cooper","Democrat",1483,"Ford","Democrat",8
231,"Cooper","Democrat",1137,"Tanner","Democrat",7
231,"Cooper","Democrat",1505,"McIntyre","Democrat",6
242,"Cox","Republican",1711,"Musgrave","Republican",6
242,"Cox","Republican",979,"Rohrabacher","Republican",6
256,"Cummings","Democrat",1729,"Van Hollen","Democrat",7
256,"Cummings","Democrat",1728,"Ruppersberger","Democrat",10
256,"Cummings","Democrat",883,"Owens","Democrat",9
256,"Cummings","Democrat",1251,"Wynn","Democrat",8
256,"Cummings","Democrat",174,"Cardin","Democrat",7
274,"Davis","Republican",1561,"Moore","Democrat",8
274,"Davis","Republican",1251,"Wynn","Democrat",9
274,"Davis","Republican",1499,"Kucinich","Democrat",6
274,"Davis","Republican",1731,"Miller","Republican",8
274,"Davis","Republican",113,"Boucher","Democrat",8
274,"Davis","Republican",985,"Ros-Lehtinen","Republican",8
274,"Davis","Republican",1048,"Shays","Republican",13
274,"Davis","Republican",1470,"Cannon","Republican",6
274,"Davis","Republican",1672,"Davis","Republican",6
274,"Davis","Republican",1486,"Goode","Republican",8
274,"Davis","Republican",883,"Owens","Democrat",9
274,"Davis","Republican",672,"Leach","Republican",6
274,"Davis","Republican",1071,"Smith","Republican",11
274,"Davis","Republican",832,"Moran","Democrat",22
274,"Davis","Republican",624,"Kelly","Republican",6
274,"Davis","Republican",1654,"Clay","Democrat",7
274,"Davis","Republican",1537,"Wexler","Democrat",6
274,"Davis","Republican",663,"Lantos","Democrat",6
274,"Davis","Republican",701,"Lofgren","Democrat",7
274,"Davis","Republican",1591,"Sweeney","Republican",6
274,"Davis","Republican",1525,"Sessions","Republican",6
274,"Davis","Republican",1739,"Porter","Republican",7
274,"Davis","Republican",1686,"Lynch","Democrat",7
274,"Davis","Republican",1729,"Van Hollen","Democrat",12
274,"Davis","Republican",1808,"Drake","Republican",8
274,"Davis","Republican",868,"Norton","Democrat",14
274,"Davis","Republican",396,"Foley","Republican",7
274,"Davis","Republican",1682,"Watson","Democrat",11
274,"Davis","Republican",446,"Goodlatte","Republican",6
274,"Davis","Republican",729,"Maloney","Democrat",7
274,"Davis","Republican",1640,"Issa","Republican",10
274,"Davis","Republican",766,"McDermott","Democrat",8
274,"Davis","Republican",1477,"Davis","Democrat",11
274,"Davis","Republican",1667,"Platts","Republican",11
